id;last_activity;expiration;data
3s5po2cggps8vqj0esl47q2ju6;1480937232;1481542032;
40vd3hqpqv701lp0jd14gbguk7;1485255836;1485860636;
8nlgpf83756um29q9jurhq70g1;1501683057;1502287857;
a7r5erg9f4un5ss2t817qmch87;211130109;211216509;adminLoggedUser|s:14:admin@demo.com;
af12u8jt9iajf2ebkgru0sbhb4;1505819153;215203421;adminLoggedUser|s:14:admin@demo.com;
poqsotlr3hej5p92bhfrcbb1n0;1480681194;1481285994;
rdpkcrjf1sb2pjsgejtjovfgf2;1497043288;1497648088;
tcu4uq421ftln5g928l2j3hb67;211402659;1480423415;adminLoggedUser|s:14:admin@demo.com;
tjn0r6g1egn1554d7cir73lf31;1485255859;1485860659;
vd9h3cv5abh7htmg9j8rbv7at3;1497619097;1498223897;
